big,middle,small,today,mean
바람 대교 침수,높아지는 수위가 원인,갑작스레 내린 비의 영향으로 바람 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 저녁 퇴근길 교통 상황이 혼잡해졌습니다.,말은 말인데 타지 못하는 말은?,거짓말
위태로운 서민경제,줄어드는 가게 수,생선가게를 유지한 지 10년째 되는 최 씨는 계속되는 적자에 버티지 못하고 임대를 내놓게 되었습니다.,사람이 먹을 수 있는 제비는?,수제비
위태로운 서민경제,줄어드는 가게 수,채소가게를 유지한 지 5년째 되는 김 씨는 계속되는 적자에 버티지 못하고 임대를 내놓게 되었습니다.,세상에서 가장 빠른 닭은?,후다닥
위태로운 서민경제,줄어드는 가게 수,정육점가게를 유지한 지 8년째 되는 박 씨는 계속되는 적자에 버티지 못하고 임대를 내놓게 되었습니다.,닭은 닭인데 먹지 못하는 닭은?,까닭
위태로운 서민경제,줄어드는 가게 수,옷가게를 유지한 지 7년째 되는 이 씨는 계속되는 적자에 버티지 못하고 임대를 내놓게 되었습니다.,간장은 간장인데 사람이 먹을 수 없는 간장은?,애간장
위태로운 서민경제,줄어드는 가게 수,신발가게를 유지한 지 6년째 되는 정 씨는 계속되는 적자에 버티지 못하고 임대를 내놓게 되었습니다.,병아리가 제일 잘 먹는 약은?,삐약
정구압 잇따른 건물 침수,노후화가 원인,쏟아지는 비의 영향으로 인해 정구압 A 건물이 침수되었습니다. 주원인은 노후화된 시설로 인해 물이 들어온 것으로 밝혀졌습니다.,개 중에 가장 아름다운 개는?,무지개
림도신 잇따른 건물 침수,노후화가 원인,쏟아지는 비의 영향으로 인해 림도신 B 건물이 침수되었습니다. 주원인은 노후화된 시설로 인해 물이 들어온 것으로 밝혀졌습니다.,먹으면 죽는데 안 먹을 수 없는 것은?,나이
잇따른 상가 건물 침수,노후화가 원인,쏟아지는 비의 영향으로 인해 서울 곳곳의 상가들이 침수되었습니다. 주원인은 노후화된 시설로 인해 물이 들어온 것으로 밝혀졌습니다.,다 자랐는데도 계속 자라라고 하는 것은?,자라
잇따른 상가 건물 침수,노후화가 원인,쏟아지는 비의 영향으로 인해 수도권 곳곳의 상가들이 침수되었습니다. 주원인은 노후화된 시설로 인해 물이 들어온 것으로 밝혀졌습니다.,먹고 살기 위하여 누구나 한 가지씩 배워야 하는 술은?,기술
높아지는 파도.. 어부들 피눈물,멈춰있는 배들,계속되는 폭우로 인하여 어부들의 고기잡이가 멈춰있습니다. 이로 인해 당분간 수익이 없는 어부들의 속은 타들어만 갑니다.,바가지는 바가지인데 쓰지 못하는 바가지는?,해골바가지
감낭역 또다시 침수,유지보수 전혀 안 되어있어,지난 새벽 5시 갑자기 쏟아진 비로 인하여 감낭역이 침수되었습니다. 몇 년째 침수되지만 아직 해결되고 있지 않습니다.,바닷가에서는 해도 되는 욕은?,해수욕
사다역 또다시 침수,유지보수 전혀 안 되어있어,지난 새벽 4시 갑자기 쏟아진 비로 인하여 사다역이 침수되었습니다. 몇 년째 침수되지만 아직 해결되고 있지 않습니다.,발이 두 개 달린 소는?,이발소
"서울,경기권.. 호우주의보",출퇴근길 위험,어제저녁부터 쏟아지는 비는 그칠 기미가 보이질 않으며 최소 200mm 내릴 것으로 추정됩니다.,별 중에 가장 슬픈 별은?,이별
수도권.. 호우주의보,출퇴근길 위험,새벽부터 쏟아지는 비는 그칠 기미가 보이질 않고 있습니다. 따라서 최소 250mm 내릴 것으로 추정됩니다.,사람들이 가장 싫어하는 거리는?,걱정거리
강원도.. 호우특보,출퇴근길 위험,새벽부터 쏟아지는 비는 그칠 기미가 보이질 않고 있습니다. 따라서 최소 300mm 내릴 것으로 추정됩니다.,창으로 찌르려고 할 때 하는 말은?,창피해
이모 양 김모 군 결혼,1년 열애 끝에 골인,다음 주 5월 13일에 연예인 이모 양(33세)과 김모 군(35세)이 많은 사랑과 관심 속에 결혼하게 되었습니다.,추운 겨울에 가장 많이 찾는 끈은?,따끈따끈
최모 양 이모 군 결혼,2년 열애 끝에 골인,다음 주 6월 15일에 연예인 최모 양(35세)과 이모 군(33세)이 많은 사랑과 관심 속에 결혼하게 되었습니다.,파리 중에 가장 무거운 파리는?,돌팔이
박모 양 정모 군 결혼,3년 열애 끝에 골인,다음 주 7월 20일에 연예인 박모 양(34세)과 정모 군(34세)이 많은 사랑과 관심 속에 결혼하게 되었습니다.,누룽지를 영어로 표현하면?,밥이브라운
달러 환율.. 하락세,"1,120원으로 마무리","연속되는 달러 상승세에 오늘 1,120원으로 하락하였습니다. 당분간은 유지 되거나 더 떨어질 것으로 추정됩니다.",많이 맞을수록 좋은 것은?,시험문제
달러 환율.. 상승세,"1,300원 돌파","연속되는 달러 하락세에 오늘 1,300원으로 상승하였습니다. 당분간은 유지 되거나 더 상승할 것으로 추정됩니다.",이상한 사람들이 모이는 곳은?,치과
엔화 환율.. 하락세,980원으로 마무리,연속되는 엔화 하락세에 오늘 980원으로 하락하였습니다. 당분간은 유지 되거나 더 떨어질 것으로 추정됩니다.,눈사람의 반대말은?,일어선 사람
엔화 환율.. 상승세,"1,100원으로 돌파","연속되는 달러 상승세에 오늘 1,100원으로 상승하였습니다. 당분간은 유지 되거나 더 상승할 것으로 추정됩니다.",소금장수가 좋아하는 사람은?,싱거운 사람
우비산 산사태,계속되는 폭우 영향,쏟아지는 폭우로 인해 우비산에서 산사태가 발생하였습니다. 다행히 인명피해는 없지만 복구되는데 시간이 걸릴 것으로 추정됩니다.,먹을수록 덜덜 떨리는 음식은?,추어탕
수우산 산사태,계속되는 폭우 영향,쏟아지는 폭우로 인해 수우산에서 산사태가 발생하였습니다. 다행히 인명피해는 없지만 복구되는데 시간이 걸릴 것으로 추정됩니다.,새 중에서 가장 빠른 새는?,눈 깜짝할 새
이슬산 산사태,계속되는 폭우 영향,쏟아지는 폭우로 인해 이슬산에서 산사태가 발생하였습니다. 다행히 인명피해는 없지만 복구되는데 시간이 걸릴 것으로 추정됩니다.,유일하게 날로 먹을 수 있는 오리?,회오리
포푸산 산사태,계속되는 폭우 영향,쏟아지는 폭우로 인해 포푸산에서 산사태가 발생하였습니다. 다행히 인명피해는 없지만 복구되는데 시간이 걸릴 것으로 추정됩니다.,"1위, 2위, 3위보다 4위가 더 좋은 사람은?",장모
S 회사 새로운 우산 출시,타고난 방수 효과,S 회사에서 방수 효과가 뛰어난 우산을 출시하였습니다. 내일 오후 4시부터 예약판매를 할 것으로 보입니다.,호주의 돈은?,호주머니
N 회사 새로운 우비 출시,타고난 방수 효과,N 회사에서 방수 효과가 뛰어난 우비를 출시하였습니다. 내일 오전 11시부터 예약판매를 할 것으로 보입니다.,어부들이 싫어하는 연예인은?,배철수
L 회사 새로운 우산 출시,독특한 디자인 사로잡아,L 회사에서 독특한 디자인의 우산을 출시하였습니다. 내일 오전 10시부터 예약판매를 할 것으로 보입니다.,孑孑單身혈혈단신,의지할 곳 없는 외로운 홀몸
K 회사 새로운 우비 출시,독특한 디자인 사로잡아,K 회사에서 독특한 디자인의 우비를 출시하였습니다. 내일 오후 3시부터 예약판매를 할 것으로 보입니다.,落木空山낙목공산,잎이 다 떨어지고 난 뒤의 텅텅 빈 쓸쓸한 산을 이르는 말
A 회사 새로 출시된 스마트폰,방수 효과 탁월,A 회사에서 새로 선보이는 스마트폰의 방수 효과가 뛰어나 눈길을 사로잡고 있습니다. 다음 달부터 판매될 것으로 보입니다.,一場春夢일장춘몽,인생의 허무함을 비유하여 이르는 말
B 회사 새로 출시된 스마트폰,방수 효과 탁월,B 회사에서 새로 선보이는 스마트폰의 방수 효과가 뛰어나 눈길을 사로잡고 있습니다. 다음 주부터 판매될 것으로 보입니다.,三日天下삼일천하,권세의 허무를 일컫는 말
고등어 물가 상승,폭우로 인한 수량 부족,계속되는 폭우로 인하여 고등어 수량이 부족하게 되었습니다. 따라서 고등어 물가가 대폭 상승하게 되었습니다.,人生朝露인생조로,인생은 아침 이슬과 같이 짧고 덧없다는 말
가자미 물가 상승,폭우로 인한 수량 부족,계속되는 폭우로 인하여 가자미 수량이 부족하게 되었습니다. 따라서 가자미 물가가 대폭 상승하게 되었습니다.,人生無常인생무상,인생이 덧없음을 이르는 말
조기 물가 상승,폭우로 인한 수량 부족,계속되는 폭우로 인하여 조기 수량이 부족하게 되었습니다. 따라서 조기 물가가 대폭 상승하게 되었습니다.,作心三日작심삼일,결심이 얼마 되지 않아 흐지부지된다는 말
한우 물가 상승,농가의 피해로 인한 수량 부족,계속되는 폭우로 인하여 한웃값이 대폭 상승하게 되었습니다. 이로 인해 시민들은 난감해 하고 있습니다.,敗家亡身패가망신,가산을 탕진하고 몸을 망치는 말
돼지고기 물가 상승,농가의 피해로 인한 수량 부족,계속되는 폭우로 인하여 돼지고깃값이 대폭 상승하게 되었습니다. 이로 인해 시민들은 난감해 하고 있습니다.,會者定離회자정리,인생의 무상함을 인간의 힘으로는 어찌할 수 없는 이별의 아쉬움을 일컫는 말
채소 물가 상승,농가의 피해로 인한 수량 부족,계속되는 폭우로 인하여 여러 채소의 값이 대폭 상승하게 되었습니다. 이로 인해 시민들은 난감해 하고 있습니다.,美人薄命미인박명,미인은 흔히 불행하거나 병약하여 요절하는 일이 많다는 말
불어나는 강물.. 저수지 넘쳐,이 씨네 소가 떠내려가,오늘 새벽 4시에 갑자기 불어난 강물에 저수지가 넘쳤습니다. 결국 가축들이 떠내려가 이 씨 농가에 막대한 피해를 입었습니다.,胡蝶之夢호접지몽,인생의 덧없음의 비유
불어나는 강물.. 저수지 넘쳐,박 씨네 소가 떠내려가,오늘 새벽 2시에 갑자기 불어난 강물에 저수지가 넘쳤습니다. 결국 가축들이 떠내려가 박 씨 농가에 막대한 피해를 입었습니다.,諸行無常제행무상,인생의 덧없음 　
불어나는 강물.. 저수지 넘쳐,최 씨네 소가 떠내려가,오늘 새벽 3시에 갑자기 불어난 강물에 저수지가 넘쳤습니다. 결국 가축들이 떠내려가 최 씨 농가에 막대한 피해를 입었습니다.,隔世之感격세지감,딴 세대와 같이 많은 변화가 있었음을 비유하는 말
불어나는 강물.. 저수지 넘쳐,오 씨네 소가 떠내려가,오늘 새벽 4시에 갑자기 불어난 강물에 저수지가 넘쳤습니다. 결국 가축들이 떠내려가 오 씨 농가에 막대한 피해를 입었습니다.,天涯孤獨천애고독,의지할 곳이 없음을 이르는 말
김모 양 이모 군 1년째 열애 중,많은 관심은 부담,요즘 한창 인기 있는 김모 양(29세)과 이모 군(29세)이 1년째 열애 중인 것으로 밝혀졌으며 결혼을 전제로 사귀고 있었습니다.,孤立無依고립무의,외롭고 의지할 데 없음
이모 양 김모 군 1년째 열애 중,많은 관심은 부담,요즘 한창 인기 있는 이모 양(30세)과 김모 군(30세)이 1년째 열애 중인 것으로 밝혀졌으며 결혼을 전제로 사귀고 있었습니다.,孤身隻影고신척영,몸 붙일 곳 없이 떠도는 외로운 신세를 이르는 말
박모 양 김모 군 2년째 열애 중,많은 관심은 부담,요즘 한창 인기 있는 박모 양(31세)과 김모 군(31세)이 2년째 열애 중인 것으로 밝혀졌으며 결혼을 전제로 사귀고 있었습니다.,孤枕寒燈고침한등,외롭고 쓸쓸한 잠자리를 이르는 말
최모 양 김모 군 3개월째 열애 중,주변 사람들 눈치 못 채,요즘 한창 인기 있는 최모 양(28세)과 김모 군(27세)이 3개월째 열애 중인 것으로 밝혀졌습니다.,客窓寒燈객창한등,외로운 나그네의 신세를 말함
김모 양 최모 군 5개월째 열애 중,주변 사람들 눈치 못 채,요즘 한창 인기 있는 김모 양(29세)과 최모 군(30세)이 5개월째 열애 중인 것으로 밝혀졌습니다.,木石不傅목석불부,가난하고 외로워서 의지할 곳이 없는 처지를 이르는 말
우산 대교 침수,높아지는 수위가 원인,아침부터 내린 비의 영향으로 우산 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 아침 출근길 교통 상황이 혼잡해졌습니다.,孤雲野鶴고운야학,속세를 떠난 은사를 가리키는 말
우비 대교 침수,높아지는 수위가 원인,새벽부터 내린 비의 영향으로 우비 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 아침 출근길 교통 상황이 혼잡해졌습니다.,滿目蕭然만목소연,눈에 보이는 모든 것이 쓸쓸함
벼락 대교 침수,높아지는 수위가 원인,아침부터 내린 비의 영향으로 벼락 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 아침 출근길 교통 상황이 혼잡해졌습니다.,無主孤魂무주고혼,거두어 주는 연고자가 없어 떠돌아다니는 외로운 혼령
우수 대교 침수,높아지는 수위가 원인,어제부터 내린 비의 영향으로 우수 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 아침 출근길 교통 상황이 혼잡해졌습니다.,鷄卵有骨계란유골,복이 없는 사람은 아무리 좋은 기회를 만나도 덕을 못 본다는 말
폭풍 대교 침수,높아지는 수위가 원인,종일 내린 비의 영향으로 폭풍 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 저녁 퇴근길 교통 상황이 혼잡해졌습니다.,雪上加霜설상가상,어려운 일이 겹침을 이르는 말
수우 대교 침수,높아지는 수위가 원인,갑작스레 내린 비의 영향으로 수우 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 저녁 퇴근길 교통 상황이 혼잡해졌습니다.,風前燈火풍전등화,사물이 오래 견디지 못하고 매우 위급한 자리에 놓여 있음을 가리키는 말
바람 대교 침수,높아지는 수위가 원인,갑작스레 내린 비의 영향으로 바람 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 저녁 퇴근길 교통 상황이 혼잡해졌습니다.,草綠同色초록동색,같은 처지의 사람과 어울리거나 기우는 것
위태로운 서민경제,줄어드는 가게 수,채소가게를 유지한 지 5년째 되는 김 씨는 계속되는 적자에 버티지 못하고 임대를 내놓게 되었습니다.,走馬看山주마간산,바빠서 자세히 살펴보지 않고 대강 보고 지나감을 이름
위태로운 서민경제,줄어드는 가게 수,정육점가게를 유지한 지 8년째 되는 박 씨는 계속되는 적자에 버티지 못하고 임대를 내놓게 되었습니다.,矯角殺牛교각살우,결점이나 흠을 고치려다 수단이 지나쳐 도리어 일을 그르침
위태로운 서민경제,줄어드는 가게 수,신발가게를 유지한 지 6년째 되는 정 씨는 계속되는 적자에 버티지 못하고 임대를 내놓게 되었습니다.,結者解之결자해지,일을 저지른 사람이 그 일을 해결해야 한다는 말
림도신 잇따른 건물 침수,노후화가 원인,쏟아지는 비의 영향으로 인해 림도신 B 건물이 침수되었습니다. 주원인은 노후화된 시설로 인해 물이 들어온 것으로 밝혀졌습니다.,自斧?足자부월족,믿는 도끼에 발등이 찍힌다는 말
잇따른 상가 건물 침수,노후화가 원인,쏟아지는 비의 영향으로 인해 서울 곳곳의 상가들이 침수되었습니다. 주원인은 노후화된 시설로 인해 물이 들어온 것으로 밝혀졌습니다.,苦盡甘來고진감래,고생 끝에 낙이 온다는 말
잇따른 상가 건물 침수,노후화가 원인,쏟아지는 비의 영향으로 인해 수도권 곳곳의 상가들이 침수되었습니다. 주원인은 노후화된 시설로 인해 물이 들어온 것으로 밝혀졌습니다.,燈下不明등하불명,가까이 있는 것이 도리어 알아내기 어려움을 이르는 말
높아지는 파도.. 어부들 피눈물,멈춰있는 배들,계속되는 폭우로 인하여 어부들의 고기잡이가 멈춰있습니다. 이로 인해 당분간 수익이 없는 어부들의 속은 타들어만 갑니다.,牛耳讀經우이독경,우둔한 사람은 아무리 가르치고 일러주어도 알아듣지 못함을 비유하여 이르는 말
사다역 또다시 침수,유지보수 전혀 안 되어있어,지난 새벽 4시 갑자기 쏟아진 비로 인하여 사다역이 침수되었습니다. 몇 년째 침수되지만 아직 해결되고 있지 않습니다.,狐假虎威호가호위,남의 세력을 빌어 위세를 부림
"서울,경기권.. 호우주의보",출퇴근길 위험,어제저녁부터 쏟아지는 비는 그칠 기미가 보이질 않으며 최소 200mm 내릴 것으로 추정됩니다.,猫頭懸鈴묘두현령,불가능한 일을 의논함을 이르는 말
강원도.. 호우특보,출퇴근길 위험,새벽부터 쏟아지는 비는 그칠 기미가 보이질 않고 있습니다. 따라서 최소 300mm 내릴 것으로 추정됩니다.,獨掌不鳴독장불명,맞서는 이가 없으면 싸움이 되지 않음을 이르는 말
이모 양 김모 군 결혼,1년 열애 끝에 골인,다음 주 5월 13일에 연예인 이모 양(33세)과 김모 군(35세)이 많은 사랑과 관심 속에 결혼하게 되었습니다.,於異阿異어이아이,같은 내용의 말이라도 말하기에 따라 사뭇 달라짐
최모 양 이모 군 결혼,2년 열애 끝에 골인,다음 주 6월 15일에 연예인 최모 양(35세)과 이모 군(33세)이 많은 사랑과 관심 속에 결혼하게 되었습니다.,渴而穿井갈이천정,자기가 급해야 서둘러서 일을 한다는 말
박모 양 정모 군 결혼,3년 열애 끝에 골인,다음 주 7월 20일에 연예인 박모 양(34세)과 정모 군(34세)이 많은 사랑과 관심 속에 결혼하게 되었습니다.,漢江投石한강투석,아무리 투자를 하거나 애를 써도 보람이 없음을 이르는 말
달러 환율.. 하락세,"1,120원으로 마무리","연속되는 달러 상승세에 오늘 1,120원으로 하락하였습니다. 당분간은 유지 되거나 더 떨어질 것으로 추정됩니다.",烏飛梨落오비이락,아무런 관계도 없이 한 일이 공교롭게 다른 일과 때가 일치해 혐의를 받게 됨을 이르는 말
달러 환율.. 상승세,"1,300원 돌파","연속되는 달러 하락세에 오늘 1,300원으로 상승하였습니다. 당분간은 유지 되거나 더 상승할 것으로 추정됩니다.",十匙一飯십시일반,여러 사람이 힘을 합하면 한 사람을 돕기는 쉽다는 말
우비산 산사태,계속되는 폭우 영향,쏟아지는 폭우로 인해 우비산에서 산사태가 발생하였습니다. 다행히 인명피해는 없지만 복구되는데 시간이 걸릴 것으로 추정됩니다.,咸興差使함흥차사,한번 간 사람이 돌아오지 않거나 소식이 없다는 말
수우산 산사태,계속되는 폭우 영향,쏟아지는 폭우로 인해 수우산에서 산사태가 발생하였습니다. 다행히 인명피해는 없지만 복구되는데 시간이 걸릴 것으로 추정됩니다.,十中八九십중팔구,거의 예외 없이 그러할 것이라는 추측을 나타내는 말
이슬산 산사태,계속되는 폭우 영향,쏟아지는 폭우로 인해 이슬산에서 산사태가 발생하였습니다. 다행히 인명피해는 없지만 복구되는데 시간이 걸릴 것으로 추정됩니다.,興盡悲來흥진비래,세상의 온갖 일에 너무 자만하거나 낙담하지 말라는 뜻
S 회사 새로운 우산 출시,타고난 방수 효과,S 회사에서 방수 효과가 뛰어난 우산을 출시하였습니다. 내일 오후 4시부터 예약판매를 할 것으로 보입니다.,一石二鳥일석이조,한 가지 일을 해서 두 가지 이익을 얻음을 이르는 말
N 회사 새로운 우비 출시,타고난 방수 효과,N 회사에서 방수 효과가 뛰어난 우비를 출시하였습니다. 내일 오전 11시부터 예약판매를 할 것으로 보입니다.,過猶不及과유불급,중용이 중요함을 가리키는 말
B 회사 새로 출시된 스마트폰,방수 효과 탁월,B 회사에서 새로 선보이는 스마트폰의 방수 효과가 뛰어나 눈길을 사로잡고 있습니다. 다음 주부터 판매될 것으로 보입니다.,近墨者黑근묵자흑,나쁜 사람을 가까이하면 그 버릇에 물들기 쉽다는 말
고등어 물가 상승,폭우로 인한 수량 부족,계속되는 폭우로 인하여 고등어 수량이 부족하게 되었습니다. 따라서 고등어 물가가 대폭 상승하게 되었습니다.,適者生存적자생존,그 환경에 맞는 것만이 살아남고 그렇지 못한 것은 차차 쇠퇴의 현상을 일컫는 말
돼지고기 물가 상승,농가의 피해로 인한 수량 부족,계속되는 폭우로 인하여 돼지고깃값이 대폭 상승하게 되었습니다. 이로 인해 시민들은 난감해 하고 있습니다.,一觸卽發일촉즉발,조그만 자극에도 큰일이 벌어질 것 같은 아슬아슬한 상태를 이르는 말
채소 물가 상승,농가의 피해로 인한 수량 부족,계속되는 폭우로 인하여 여러 채소의 값이 대폭 상승하게 되었습니다. 이로 인해 시민들은 난감해 하고 있습니다.,九死一生구사일생,여러 차례 죽을 고비를 겪고 간신히 목숨을 건짐
